rr1,rr_turns,ra1,ra_turns,rd1,rd_turns,ir1,ir_turns,ia1,ia_turns,id1,id_turns,nr1,nr_turns,na1,na_turns,nd1,nd_turns,cr1,cr_turns,ca1,ca_turns,cd1,cd_turns,ur1,ur_turns,ua1,ua_turns,ud1,ud_turns,sr1,sr_turns,sa1,sa_turns,sd1,sd_turns,pr1,pr_turns,pa1,pa_turns,pd1,pd_turns,fr1,fr_turns,fa1,fa_turns,fd1,fd_turns,er1,er_turns,ea1,ea_turns,ed1,ed_turns,mr1,mr_turns,ma1,ma_turns,md1,md_turns
0,575,0,35,0,150,0,100,0,110,0,205,0,70,0,75,0,140,0,150,0,85,0,35,1,90,0,60,0,55,0,160,0,55,0,25,1,115,0,260,0,185,1,130,1,335,0,70,0,170,0,375,0,75,0,100,0,55,0,105
0,220,0,15,1,150,1,60,0,60,0,40,0,155,0,75,0,55,0,45,0,85,0,115,0,230,0,140,0,30,1,60,1,2090,0,65,0,285,0,160,1,220,1,200,1,225,1,175,1,130,0,45,0,55,0,40,0,155,0,55
1,95,0,25,0,40,1,180,0,80,0,215,0,40,0,35,0,25,0,60,0,25,1,170,1,55,0,160,0,280,0,105,0,55,0,75,1,85,1,215,0,100,0,65,0,85,0,100,0,165,0,275,0,195,0,40,1,410,0,40
0,225,0,70,0,25,0,165,1,285,0,45,0,30,0,50,0,50,0,115,0,85,0,65,0,85,0,175,0,50,1,60,0,45,0,170,1,195,0,350,1,185,0,95,0,50,0,455,1,145,0,50,0,30,0,85,0,115,0,50
0,55,0,70,0,50,1,205,0,205,0,40,0,65,0,55,0,65,0,40,0,160,0,65,0,50,0,20,0,215,0,105,0,145,0,45,1,225,1,765,0,125,0,280,0,115,0,60,0,20,0,140,0,270,0,90,0,100,0,20
0,115,0,110,0,180,1,245,0,50,0,90,0,175,0,35,0,20,0,50,0,190,0,35,1,100,0,225,0,55,0,85,1,415,0,115,1,70,0,115,0,270,0,55,0,90,1,190,0,40,1,345,0,30,0,45,1,300,0,30
0,45,0,20,0,15,0,60,0,150,0,110,0,45,0,45,0,35,0,70,0,45,0,65,1,90,1,190,0,50,0,40,0,130,0,115,0,380,0,135,0,75,1,75,0,160,0,90,0,65,0,60,0,150,1,105,0,125,0,160
0,65,0,90,0,30,0,120,1,490,1,150,1,205,0,30,0,260,0,165,0,135,0,20,1,260,0,45,0,195,0,85,0,105,0,35,1,90,0,75,1,140,1,155,0,85,0,280,0,85,0,660,0,60,0,45,0,60,0,100
0,105,0,45,1,95,1,60,1,295,0,45,1,105,0,30,0,20,1,140,0,25,0,45,0,55,1,330,0,30,0,40,1,525,0,425,0,115,0,295,1,125,0,20,0,135,0,60,1,80,0,120,0,50,0,275,0,35,0,35
0,85,0,40,0,20,0,460,0,20,1,200,0,25,0,60,0,75,0,35,0,35,0,70,1,85,0,340,0,70,0,40,0,110,0,40,1,55,1,370,1,75,1,55,0,100,0,20,0,130,0,40,0,45,1,55,0,60,0,30
